lat,lon,distance,rsrp,pci,lat_minmax,lon_minmax,distance_minmax,rsrp_minmax,pci_minmax,lat_meannorm,lon_meannorm,distance_meannorm,rsrp_meannorm
51.404021,12.210271,206.55832813235693,-76.8,217.0,0.4968573073601461,0.20347834269046353,0.04078721866121636,0.7078125000000001,0.0014084507042253522,0.14650821872794859,-0.6401769274382078,-1.2127969186253271,1.8997119643443316
51.40404,12.21032,207.2118505363916,-73.9,217.0,0.49731311774306924,0.2038625599849375,0.04093118501659911,0.7531249999999999,0.0014084507042253522,0.14912332639837486,-0.6380931708549364,-1.2117607703344544,2.1769492253877076
51.404056,12.210367,207.67807264197083,-70.3,217.0,0.49769695806537834,0.20423109494087288,0.04103389044326043,0.8093750000000001,0.0014084507042253522,0.15132552233049038,-0.6360944655607167,-1.2110215833763935,2.5211058253036245
51.404073,12.210414,208.31408173239487,-71.8,217.0,0.498104788407949,0.2045996298968083,0.04117399873973712,0.7859375000000001,0.0014084507042253522,0.15366535550903546,-0.6340957602664968,-1.2100132021365864,2.3777072420053265
51.404089,12.210461,208.91089592896225,-72.3,217.0,0.49848862873042854,0.2049681648527437,0.041305472678794204,0.7781250000000001,0.0014084507042253522,0.15586755144212894,-0.6320970549722771,-1.209066963712434,2.329907714239227
51.404104,12.210509,209.44473000981955,-80.8,217.0,0.49884847903264656,0.20534454097794838,0.04142307254457639,0.6453125000000001,0.0014084507042253522,0.15793211012879285,-0.6300558240335316,-1.2082205791553402,1.5173157422155357
51.404118,12.210558,209.91671467766167,-85.3,217.0,0.4991843393147736,0.20572875827243628,0.0415270474228763,0.5750000000000001,0.0014084507042253522,0.15985903157000514,-0.6279720674501847,-1.207472255756045,1.0871199923206405
51.404132,12.210608,210.4351403969476,-86.9,217.0,0.4995201995969006,0.20612081673619348,0.04164125293577302,0.5499999999999999,0.0014084507042253522,0.16178595301121745,-0.6258457852223123,-1.206650300885537,0.9341615034691214
51.404146,12.210658,211.02079474143537,-87.2,217.0,0.49985605987902754,0.2065128751999507,0.04177026843848485,0.5453125,0.0014084507042253522,0.16371287445242974,-0.6237195029944397,-1.2057217562108067,0.905481786809462
51.404158,12.210704,211.5234954798426,-87.2,217.0,0.5001439401209724,0.20687356898660286,0.04188100984950597,0.5453125,0.0014084507042253522,0.16536452140273886,-0.6217633233448212,-1.2049247330212338,0.905481786809462
